ML02997a	1ef2366850bad5fd8a437c6d7dc856d4	360	Pfam	PF07699	Putative ephrin-receptor like	129	167	1.6E-10	T	12-10-2017	IPR011641	Tyrosine-protein kinase ephrin type A/B receptor-like		
ML02997a	1ef2366850bad5fd8a437c6d7dc856d4	360	SMART	SM01411		122	167	3.2E-9	T	12-10-2017	IPR011641	Tyrosine-protein kinase ephrin type A/B receptor-like		
ML02997a	1ef2366850bad5fd8a437c6d7dc856d4	360	Gene3D	G3DSA:2.10.50.10		109	137	0.0011	T	12-10-2017
ML02997a	1ef2366850bad5fd8a437c6d7dc856d4	360	Gene3D	G3DSA:2.10.50.10		138	168	0.018	T	12-10-2017
ML02997a	1ef2366850bad5fd8a437c6d7dc856d4	360	Gene3D	G3DSA:1.20.5.100		273	310	1.6E-4	T	12-10-2017	IPR021157	Cytochrome c1, transmembrane anchor, C-terminal		
ML35308a	9a201058fda434ca308456a75ab39aaa	372	Coils	Coil		118	138	-	T	12-10-2017
ML35308a	9a201058fda434ca308456a75ab39aaa	372	Gene3D	G3DSA:3.90.20.10		87	217	8.5E-7	T	12-10-2017
ML35308a	9a201058fda434ca308456a75ab39aaa	372	Coils	Coil		172	192	-	T	12-10-2017
ML35308a	9a201058fda434ca308456a75ab39aaa	372	Gene3D	G3DSA:2.60.120.260		218	368	2.5E-5	T	12-10-2017	IPR008979	Galactose-binding-like domain superfamily		
ML35308a	9a201058fda434ca308456a75ab39aaa	372	SUPERFAMILY	SSF49785		235	363	6.8E-7	T	12-10-2017	IPR008979	Galactose-binding-like domain superfamily		
ML030229a	223f0e02308773c54fea4fb6476a6aa8	514	MobiDBLite	mobidb-lite	consensus disorder prediction	100	121	-	T	12-10-2017
ML030229a	223f0e02308773c54fea4fb6476a6aa8	514	Gene3D	G3DSA:3.60.10.10		164	398	8.9E-16	T	12-10-2017	IPR036691	Endonuclease/exonuclease/phosphatase superfamily		
ML030229a	223f0e02308773c54fea4fb6476a6aa8	514	MobiDBLite	mobidb-lite	consensus disorder prediction	398	481	-	T	12-10-2017
ML030229a	223f0e02308773c54fea4fb6476a6aa8	514	SUPERFAMILY	SSF56219		165	382	2.75E-16	T	12-10-2017	IPR036691	Endonuclease/exonuclease/phosphatase superfamily		
ML030229a	223f0e02308773c54fea4fb6476a6aa8	514	CDD	cd09076	L1-EN	191	384	1.57133E-34	T	12-10-2017
ML124235a	17c6b9d10dc6e9c166783cd3f2dc344e	422	SMART	SM00032		177	226	1.7	T	12-10-2017	IPR000436	Sushi/SCR/CCP domain		
ML124235a	17c6b9d10dc6e9c166783cd3f2dc344e	422	SMART	SM00032		324	376	1.1	T	12-10-2017	IPR000436	Sushi/SCR/CCP domain		
ML124235a	17c6b9d10dc6e9c166783cd3f2dc344e	422	SMART	SM00032		230	280	13.0	T	12-10-2017	IPR000436	Sushi/SCR/CCP domain		
ML124235a	17c6b9d10dc6e9c166783cd3f2dc344e	422	SUPERFAMILY	SSF57535		189	233	6.95E-6	T	12-10-2017	IPR035976	Sushi/SCR/CCP superfamily		
ML124235a	17c6b9d10dc6e9c166783cd3f2dc344e	422	ProSiteProfiles	PS51670	ShKT domain profile.	31	65	9.173	T	12-10-2017	IPR003582	ShKT domain		
ML124235a	17c6b9d10dc6e9c166783cd3f2dc344e	422	Pfam	PF01549	ShK domain-like	31	65	1.7E-8	T	12-10-2017	IPR003582	ShKT domain		
ML124235a	17c6b9d10dc6e9c166783cd3f2dc344e	422	Gene3D	G3DSA:2.10.70.10		261	303	0.25	T	12-10-2017
ML124235a	17c6b9d10dc6e9c166783cd3f2dc344e	422	Gene3D	G3DSA:2.10.70.10		161	232	8.8E-7	T	12-10-2017
ML124235a	17c6b9d10dc6e9c166783cd3f2dc344e	422	Gene3D	G3DSA:2.10.70.10		326	395	0.0011	T	12-10-2017
ML124235a	17c6b9d10dc6e9c166783cd3f2dc344e	422	SMART	SM00254		30	66	6.3E-8	T	12-10-2017	IPR003582	ShKT domain		
ML124235a	17c6b9d10dc6e9c166783cd3f2dc344e	422	Gene3D	G3DSA:1.20.5.50		43	87	0.0029	T	12-10-2017
ML124235a	17c6b9d10dc6e9c166783cd3f2dc344e	422	CDD	cd00033	CCP	179	227	0.00332086	T	12-10-2017	IPR000436	Sushi/SCR/CCP domain		
ML124235a	17c6b9d10dc6e9c166783cd3f2dc344e	422	Gene3D	G3DSA:4.10.1190.10		233	260	0.43	T	12-10-2017
ML073244a	34a3e825ff4409647bc47cd30d2b635b	291	ProSiteProfiles	PS50865	Zinc finger MYND-type profile.	242	278	12.242	T	12-10-2017	IPR002893	Zinc finger, MYND-type		
ML073244a	34a3e825ff4409647bc47cd30d2b635b	291	Pfam	PF07531	NHR1 homology to TAF	22	96	5.6E-18	T	12-10-2017	IPR003894	TAFH/NHR1	GO:0003700|GO:0006355	
ML073244a	34a3e825ff4409647bc47cd30d2b635b	291	Pfam	PF01753	MYND finger	242	278	3.0E-8	T	12-10-2017	IPR002893	Zinc finger, MYND-type		
ML073244a	34a3e825ff4409647bc47cd30d2b635b	291	SMART	SM00549		20	106	8.7E-8	T	12-10-2017	IPR003894	TAFH/NHR1	GO:0003700|GO:0006355	
ML073244a	34a3e825ff4409647bc47cd30d2b635b	291	ProSiteProfiles	PS51119	TAFH/NHR1 domain profile.	18	113	18.161	T	12-10-2017	IPR003894	TAFH/NHR1	GO:0003700|GO:0006355	
ML073244a	34a3e825ff4409647bc47cd30d2b635b	291	SUPERFAMILY	SSF144232		241	279	1.67E-9	T	12-10-2017
ML073244a	34a3e825ff4409647bc47cd30d2b635b	291	SUPERFAMILY	SSF158553		19	97	3.27E-19	T	12-10-2017	IPR037249	TAFH/NHR1 domain superfamily	GO:0003700|GO:0006355	
ML01722a	eefd45e132e2fd3bdd4a3a76312adeba	2491	SUPERFAMILY	SSF48726		1457	1546	1.88E-5	T	12-10-2017	IPR036179	Immunoglobulin-like domain superfamily		
ML01722a	eefd45e132e2fd3bdd4a3a76312adeba	2491	Gene3D	G3DSA:2.60.40.10		2288	2412	5.3E-4	T	12-10-2017	IPR013783	Immunoglobulin-like fold		
ML01722a	eefd45e132e2fd3bdd4a3a76312adeba	2491	SUPERFAMILY	SSF48726		211	285	1.7E-6	T	12-10-2017	IPR036179	Immunoglobulin-like domain superfamily		
ML01722a	eefd45e132e2fd3bdd4a3a76312adeba	2491	Pfam	PF07679	Immunoglobulin I-set domain	424	510	9.5E-9	T	12-10-2017	IPR013098	Immunoglobulin I-set		
ML01722a	eefd45e132e2fd3bdd4a3a76312adeba	2491	Gene3D	G3DSA:2.60.40.10		761	855	7.2E-4	T	12-10-2017	IPR013783	Immunoglobulin-like fold		
ML01722a	eefd45e132e2fd3bdd4a3a76312adeba	2491	SMART	SM01411		106	154	0.0032	T	12-10-2017	IPR011641	Tyrosine-protein kinase ephrin type A/B receptor-like		
