ML33072a	a888726c199704667ebae9fc8f451e6e	1946	Gene3D	G3DSA:2.60.40.10		642	709	0.36	T	12-10-2017	IPR013783	Immunoglobulin-like fold		
ML33072a	a888726c199704667ebae9fc8f451e6e	1946	CDD	cd00033	CCP	1551	1594	1.9382E-5	T	12-10-2017	IPR000436	Sushi/SCR/CCP domain		
ML33072a	a888726c199704667ebae9fc8f451e6e	1946	ProSiteProfiles	PS50923	Sushi/CCP/SCR domain profile.	1658	1724	9.401	T	12-10-2017	IPR000436	Sushi/SCR/CCP domain		
ML33072a	a888726c199704667ebae9fc8f451e6e	1946	ProSiteProfiles	PS50923	Sushi/CCP/SCR domain profile.	1538	1596	8.593	T	12-10-2017	IPR000436	Sushi/SCR/CCP domain		
ML33072a	a888726c199704667ebae9fc8f451e6e	1946	ProSiteProfiles	PS50923	Sushi/CCP/SCR domain profile.	1467	1536	7.06	T	12-10-2017	IPR000436	Sushi/SCR/CCP domain		
ML33072a	a888726c199704667ebae9fc8f451e6e	1946	ProSiteProfiles	PS50923	Sushi/CCP/SCR domain profile.	1599	1654	8.075	T	12-10-2017	IPR000436	Sushi/SCR/CCP domain		
ML33072a	a888726c199704667ebae9fc8f451e6e	1946	Gene3D	G3DSA:2.60.40.10		317	460	0.0027	T	12-10-2017	IPR013783	Immunoglobulin-like fold		
ML33072a	a888726c199704667ebae9fc8f451e6e	1946	Gene3D	G3DSA:2.10.70.10		1601	1655	7.5E-6	T	12-10-2017
ML33072a	a888726c199704667ebae9fc8f451e6e	1946	MobiDBLite	mobidb-lite	consensus disorder prediction	1900	1921	-	T	12-10-2017
ML33072a	a888726c199704667ebae9fc8f451e6e	1946	CDD	cd00033	CCP	1614	1647	0.00101304	T	12-10-2017	IPR000436	Sushi/SCR/CCP domain		
ML33072a	a888726c199704667ebae9fc8f451e6e	1946	SUPERFAMILY	SSF48726		735	842	4.27E-5	T	12-10-2017	IPR036179	Immunoglobulin-like domain superfamily		
ML33072a	a888726c199704667ebae9fc8f451e6e	1946	Gene3D	G3DSA:2.10.70.10		1466	1536	0.0019	T	12-10-2017
ML33072a	a888726c199704667ebae9fc8f451e6e	1946	Gene3D	G3DSA:2.10.70.10		1537	1597	9.0E-9	T	12-10-2017
ML33072a	a888726c199704667ebae9fc8f451e6e	1946	Gene3D	G3DSA:2.60.40.10		820	1007	0.043	T	12-10-2017	IPR013783	Immunoglobulin-like fold		
ML33072a	a888726c199704667ebae9fc8f451e6e	1946	SUPERFAMILY	SSF57535		1532	1595	1.28E-7	T	12-10-2017	IPR035976	Sushi/SCR/CCP superfamily		
